,SEGMENTO,SEGMENTO_II,SUBSEGMENTO,TIPO,TIPO_II,SUBTIPO,SUBTIPO_II,INGREDIENTES,SABOR,PRESENTACION,ENVASE,RECURSO,UNIDADES_EN_000
0,ACEITES,SIN SEGMENTO_II,SIN SUBSEGMENTO,SIN TIPO,SIN TIPO II,SIN SUBTIPO,SIN SUBTIPO_II,SIN INGREDIENTES,SIN SABOR,SIN PRESENTACION,SIN ENVASE,100,158.716
1,ACEITES,SIN SEGMENTO_II,SIN SUBSEGMENTO,SIN TIPO,SIN TIPO II,SIN SUBTIPO,SIN SUBTIPO_II,SIN INGREDIENTES,SIN SABOR,SIN PRESENTACION,SIN ENVASE,1008,22.618000000000002
2,ACEITES,SIN SEGMENTO_II,SIN SUBSEGMENTO,SIN TIPO,SIN TIPO II,SIN SUBTIPO,SIN SUBTIPO_II,SIN INGREDIENTES,SIN SABOR,SIN PRESENTACION,SIN ENVASE,16,0.122
3,ACEITES,SIN SEGMENTO_II,SIN SUBSEGMENTO,SIN TIPO,SIN TIPO II,SIN SUBTIPO,SIN SUBTIPO_II,SIN INGREDIENTES,SIN SABOR,SIN PRESENTACION,SIN ENVASE,2100,5.021
4,ACEITES,SIN SEGMENTO_II,SIN SUBSEGMENTO,SIN TIPO,SIN TIPO II,SIN SUBTIPO,SIN SUBTIPO_II,SIN INGREDIENTES,SIN SABOR,SIN PRESENTACION,SIN ENVASE,32,0.14
5,ACEITES,SIN SEGMENTO_II,SIN SUBSEGMENTO,SIN TIPO,SIN TIPO II,SIN SUBTIPO,SIN SUBTIPO_II,SIN INGREDIENTES,SIN SABOR,SIN PRESENTACION,SIN ENVASE,5250,0.271
6,ACEITES,SIN SEGMENTO_II,SIN SUBSEGMENTO,SIN TIPO,SIN TIPO II,SIN SUBTIPO,SIN SUBTIPO_II,SIN INGREDIENTES,SIN SABOR,SIN PRESENTACION,SIN ENVASE,630,337.596
7,ACEITUNAS,SIN SEGMENTO II,SIN SUBSEGMENTO,SIN TIPO,SIN TIPO II,SIN SUBTIPO,SIN SUBTIPO II,ALMENDRA,SIN SABOR,SIN PRESENTACION,FRASCO,1034,9.629
8,ACEITUNAS,SIN SEGMENTO II,SIN SUBSEGMENTO,SIN TIPO,SIN TIPO II,SIN SUBTIPO,SIN SUBTIPO II,ALMENDRA,SIN SABOR,SIN PRESENTACION,LATA,5380,0.016
9,ACEITUNAS,SIN SEGMENTO II,SIN SUBSEGMENTO,SIN TIPO,SIN TIPO II,SIN SUBTIPO,SIN SUBTIPO II,ANCHOAS,SIN SABOR,SIN PRESENTACION,FRASCO,1002,1.466
